Paguyuban Puri Bunga 2,,,,,,,,,,,,,5,,1,JANUARI,,-965500,√,,,,,,
Laporan Kinerja Keuangan Tahun 2026,,,,,,,,,,,,,,,2.0,FEBRUARI,,663000.0,,,,,,,
PERIODE MEI,,,,,,,,,,,,,,,3.0,MARET,,-6385000.0,√,,,,,,
Bulan MEI,,,,,,,,,,,,,,,4.0,APRIL,,4680000.0,√,,,,,,
Penerimaan,,,,,,,,,,,,,,,5.0,MEI,,373700.0,√,,,,,,
40,Penerimaan Iuran Warga,,,,,,,,6310000,,,,,,6.0,JUNI,,,√,,,,,,
41,Penerimaan Lain-Lain,,,,,,,,100000,,,,,,7.0,JULI,,,√,,,,,,
,,,,,,,,,0,,,,,,8.0,AGUSTUS,,,√,,,,,,
,,,,,,,,,0,,,,,,9.0,SEPTEMBER,,,√,,,,,,
,,,,,,,,,,,6410000.0,,,,10.0,OKTOBER,,,√,,,,,,
,,,,,,,,,,,,,,,11.0,NOPEMBER,,,√,,,,,,
Pengeluaran,,,,,,,,,,,,,,,12.0,DESEMBER,,,,,,,,,
50,Biaya Gaji Satpam,,,,,,,,3030000,,,,,,,,,-1633800.0,,,,,,,
51,Biaya Gaji Sampah,,,,,,,,900000,,,,,,,,,,,,,,,,
52,Biaya Gaji Marbot,,,,,,,,750000,,,,,,,,,,,,,,,,
53,Biaya THR,,,,,,,,0,,,,,,,,,,,,,,,,
54,Biaya Listrik,,,,,,,,39648,,,,,,,,,,,,,,,,
55,Biaya PDAM,,,,,,,,12000,,,,,,,,,,,,,,,,
56,Biaya WIFI Pos Jaga,,,,,,,,1070000,,,,,,,,,,,,,,,,
57,Biaya Kebersihan,,,,,,,,0,,,,,,,,,,,,,,,,
58,Biaya adm bank,,,,,,,,15652,,,,,,,,,,,,,,,,
59,Biaya iuran RT,,,,,,,,0,,,,,,,,,,,,,,,,
60,Biaya Logistik Satpam dan Musholla,,,,,,,,219000,,,,,,,,,,,,,,,,
61,Biaya Lain-Lain,,,,,,,,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
-,Total Pengeluaran,,,,,,,,,,6036300.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus /Devisit,,,,,,,,,,,373700.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Malang,             Mei 2026",,,,,,,,,,,,,,,,
,,,,,,,,,Disusun Oleh,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Andrianto Budiaji,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
