PERKIRAAN BIAYA PENGELOLAAN PERUMAHAN PURI BUNGA 2 TAHUN 2026,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Uraian,,Cost per Month,Vs,Cost /Unit,Unit,Total Cost,Unit driver,Cost per Month,,,,,,,,,,,,,,,,,
1,Keamanan,,,,,,,,,,,,,,,,,,,,,,,,,
,-,Security,80000,,1200000,3,3600000,65,55384.61538461538,,,,,,,,,,,,,,,,,
,-,Logistik Pos,,,400000,1,400000,65,6153.846153846154,,,,,,,,,,,,,,,,,
,-,Internet,,,230000,1,230000,65,3538.4615384615386,,,,,,,,,,,,,,,,,
,,Total Kemanan,,,1830000,,4230000,65,65076.92307692308,,,,,,,,,,,,,,,,,
2,Kebersihan,,25000,,,,0,65,0,,,,,,,,,,,,,,,,,
,-,Sampah,,,900000,1,900000,65,13846.153846153846,,,,,,,,,,,,,,,,,
,-,Kebersihan Fasum,,,250000,1,250000,65,3846.153846153846,,,,,,,,,,,,,,,,,
,-,Total Kebersihan,,,1150000,,1150000,65,17692.30769230769,,,,,,,,,,,,,,,,,
,,,,,,,0,65,0,,,,,,,,,,,,,,,,,
3,Listrik +PDAM Fasum,,,,,,0,65,0,,,,,,,,,,,,,,,,,
,-,Lampu Jalan,15000,,0,1,0,65,0,,,,,,,,,,,,,,,,,
,-,Listrik Pos,,,0,1,0,65,0,,,,,,,,,,,,,,,,,
,-,PDAM,,,0,1,0,65,0,,,,,,,,,,,,,,,,,
,-,Total Listrik dan Fasum,,,0,,0,65,0,,,,,,,,,,,,,,,,,
4,Kas Paguyuban,,10000,,50000,1,50000,65,769.2307692307693,,,,,,,,,,,,,,,,,
5,Iuran RT,,,,425000,1,425000,65,6538.461538461538,,,,,,,,,,,,,,,,,
6,Musholla,,,,,,,,,,,,,,,,,,,,,,,,,
,-,Listrik dan PDAM Musholla,,,50000,1,50000,65,769.2307692307693,,,,,,,,,,,,,,,,,
,-,Gaji marbot,,,750000,1,750000,65,11538.461538461539,,,,,,,,,,,,,,,,,
,,Total Biaya Musholla,,,800000,,800000,65,12307.692307692309,,,,,,,,,,,,,,,,,
7,Total,,130000,,4255000,,6655000,65,102384.61538461538,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
PERKIRAAN BIAYA PENGELOLAAN PERUMAHAN PURI BUNGA 2 TAHUN 2027,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Uraian,,Cost per Month,Vs,Cost /Unit,Unit,Total Cost,Unit driver,Cost per Month,,,,,,,,,,,,,,,,,
1,Keamanan,,,,,,,,,,,,,,,,,,,,,,,,,
,-,Security,80000,,1300000,3,3900000,65,60000,,,,,,,,,,,,,,,,,
,-,Logistik Pos,,,400000,1,400000,65,6153.846153846154,,,,,,,,,,,,,,,,,
,-,Internet,,,230000,1,230000,65,3538.4615384615386,,,,,,,,,,,,,,,,,
,,Total Kemanan,,,1930000,,4530000,65,69692.30769230769,,,,,,,,,,,,,,,,,
2,Kebersihan,,25000,,,,0,65,0,,,,,,,,,,,,,,,,,
,-,Sampah,,,900000,1,900000,65,13846.153846153846,,,,,,,,,,,,,,,,,
,-,Kebersihan Fasum,,,250000,1,250000,65,3846.153846153846,,,,,,,,,,,,,,,,,
,-,Total Kebersihan,,,1150000,,1150000,65,17692.30769230769,,,,,,,,,,,,,,,,,
,,,,,,,0,65,0,,,,,,,,,,,,,,,,,
3,Listrik +PDAM Fasum,,,,,,0,65,0,,,,,,,,,,,,,,,,,
,-,Lampu Jalan,15000,,200000,1,200000,65,3076.923076923077,,,,,,,,,,,,,,,,,
,-,Listrik Pos,,,200000,1,200000,65,3076.923076923077,,,,,,,,,,,,,,,,,
,-,PDAM,,,50000,1,50000,65,769.2307692307693,,,,,,,,,,,,,,,,,
,-,Total Listrik dan Fasum,,,450000,,450000,65,6923.076923076924,,,,,,,,,,,,,,,,,
4,Kas Paguyuban,,10000,,50000,1,50000,65,769.2307692307693,,,,,,,,,,,,,,,,,
5,Iuran RT,,,,425000,1,425000,65,6538.461538461538,,,,,,,,,,,,,,,,,
6,Musholla,,,,,,,,,,,,,,,,,,,,,,,,,
,-,Listrik dan PDAM Musholla,,,50000,1,50000,65,769.2307692307693,,,,,,,,,,,,,,,,,
,-,Gaji marbot,,,750000,1,750000,65,11538.461538461539,,,,,,,,,,,,,,,,,
,,Total Biaya Musholla,,,800000,,800000,65,12307.692307692309,,,,,,,,,,,,,,,,,
7,Total,,130000,,4805000,,7405000,65,113923.07692307691,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
